Trienio,Semestre,Curso,Min,Max,Media,N
2022-2024,1º,(BACHARELADOS)**,51.901,126.005,75.465,97
2022-2024,1º,ADMINISTRAÇÃO (BACHARELADO),-38.595,89.957,11.549,60
2022-2024,1º,AGRONOMIA (BACHARELADO),-48.862,111.678,1.155,49
2022-2024,1º,ARQUITETURA E URBANISMO (BACHARELADO),16.573,125.153,71.638,23
2022-2024,1º,ARQUIVOLOGIA (BACHARELADO),-51.975,4.385,-30.898,10
2022-2024,1º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO),47.418,70.599,57.683,4
2022-2024,1º,ARTES VISUAIS (BACHARELADO),15.194,74.696,34.462,6
2022-2024,1º,ARTES VISUAIS (BACHARELADO)*,12.612,12.638,12.625,2
2022-2024,1º,BIBLIOTECONOMIA (BACHARELADO),-51.958,33.575,-10.668,12
2022-2024,1º,BIOTECNOLOGIA (BACHARELADO),30.328,113.585,64.477,19
2022-2024,1º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),126.977,151.587,137.478,16
2022-2024,1º,CIÊNCIA POLÍTICA (BACHARELADO),28.82,85.436,46.636,19
2022-2024,1º,CIÊNCIAS AMBIENTAIS (BACHARELADO),-71.972,60.887,-6.211,8
2022-2024,1º,CIÊNCIAS BIOLÓGICAS (BACHARELADO),57.494,109.221,72.515,11
2022-2024,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO),-61.448,119.586,9.195,47
2022-2024,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO),77.597,145.766,95.724,12
2022-2024,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO) – SUB JUDICE,113.023,113.023,113.023,1
2022-2024,1º,CIÊNCIAS NATURAIS (LICENCIATURA),-85.326,34.196,-34.098,12
2022-2024,1º,CIÊNCIAS SOCIAIS – ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA),-71.399,83.207,-4.288,46
2022-2024,1º,CIÊNCIAS SOCIAIS – ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA) – SUB JUDICE,14.041,14.041,14.041,1
2022-2024,1º,COMPUTAÇÃO (LICENCIATURA),-38.084,41.108,-11.069,24
2022-2024,1º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),-17.417,61.044,17.442,18
2022-2024,1º,COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),59.587,82.143,68.534,6
2022-2024,1º,COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),65.284,96.261,84.184,6
2022-2024,1º,DESIGN – PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO),72.977,101.879,85.253,4
2022-2024,1º,DIREITO (BACHARELADO),84.527,196.085,123.655,39
2022-2024,1º,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),-13.455,59.683,8.782,29
2022-2024,1º,ENFERMAGEM (BACHARELADO),10.069,100.035,40.671,38
2022-2024,1º,ENGENHARIA AMBIENTAL (BACHARELADO),-59.99,74.607,8.425,16
2022-2024,1º,ENGENHARIA CIVIL (BACHARELADO),64.206,133.403,94.582,15
2022-2024,1º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),117.303,148.865,129.891,10
2022-2024,1º,ENGENHARIA DE PRODUÇÃO (BACHARELADO),20.292,141.026,61.352,31
2022-2024,1º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),5.876,78.371,39.396,21
2022-2024,1º,ENGENHARIA ELÉTRICA (BACHARELADO),9.882,199.246,77.534,23
2022-2024,1º,ENGENHARIA FLORESTAL (BACHARELADO),-75.402,37.86,-13.913,16
2022-2024,1º,ENGENHARIA MECATRÔNICA – CONTROLE E AUTOMAÇÃO (BACHARELADO),38.467,130.743,75.626,19
2022-2024,1º,ENGENHARIA MECÂNICA (BACHARELADO),29.195,152.292,67.563,25
2022-2024,1º,ENGENHARIA QUÍMICA (BACHARELADO),-2.839,132.643,47.08,30
2022-2024,1º,ESTATÍSTICA (BACHARELADO),5.611,102.218,51.974,24
2022-2024,1º,FARMÁCIA (BACHARELADO),-6.952,108.318,44.295,36
2022-2024,1º,FILOSOFIA (BACHARELADO/LICENCIATURA),-44.994,42.937,-4.265,13
2022-2024,1º,FILOSOFIA (LICENCIATURA),-40.435,-34.35,-37.392,2
2022-2024,1º,FISIOTERAPIA (BACHARELADO),21.525,66.742,40.485,19
2022-2024,1º,FONOAUDIOLOGIA (BACHARELADO),0.739,51.189,19.737,9
2022-2024,1º,FÍSICA (BACHARELADO),-66.596,163.906,38.758,23
2022-2024,1º,GEOFÍSICA (BACHARELADO),-42.883,41.236,5.993,4
2022-2024,1º,GEOGRAFIA (BACHARELADO/LICENCIATURA),-81.814,30.578,-34.359,10
2022-2024,1º,GEOLOGIA (BACHARELADO),-61.349,71.897,-1.126,9
2022-2024,1º,GESTÃO AMBIENTAL (BACHARELADO),-39.971,-39.971,-39.971,1
2022-2024,1º,GESTÃO DE AGRONEGÓCIO (BACHARELADO),-85.768,-32.886,-58.409,3
2022-2024,1º,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),-67.945,36.637,-25.062,23
2022-2024,1º,GESTÃO DO AGRONEGÓCIO (BACHARELADO),-76.2,-6.311,-41.661,5
2022-2024,1º,HISTÓRIA (BACHARELADO/LICENCIATURA),26.142,140.922,53.409,13
2022-2024,1º,HISTÓRIA (LICENCIATURA),-48.927,51.751,-11.442,17
2022-2024,1º,JORNALISMO (BACHARELADO),81.921,108.42,95.052,3
2022-2024,1º,LETRAS – PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA (LICENCIATURA),-78.663,14.479,-40.378,15
