Trienio,Semestre,Curso,Curso_Limpo,Campus,Turno,Min,Max,Media,N
2023-2025,1º,(BACHARELADOS)**,(BACHARELADOS)**,DARCY RIBEIRO,DIURNO,1.0,145.39,86.141,63
2023-2025,1º,ADMINISTRAÇÃO (BACHARELADO),ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-7.05,99.156,32.628,37
2023-2025,1º,AGRONOMIA (BACHARELADO),AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-5.377,112.172,18.261,24
2023-2025,1º,ARQUITETURA E URBANISMO (BACHARELADO),ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,48.138,146.303,88.339,16
2023-2025,1º,ARQUIVOLOGIA (BACHARELADO),ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-57.868,41.329,-16.511,13
2023-2025,1º,ARTES CÊNICAS (BACHARELADO),ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,23.679,42.35,31.286,3
2023-2025,1º,ARTES CÊNICAS (LICENCIATURA),ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,-53.375,29.579,-0.197,6
2023-2025,1º,ARTES VISUAIS (BACHARELADO),ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,13.225,75.062,46.192,6
2023-2025,1º,BIBLIOTECONOMIA (BACHARELADO),BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-57.49,36.282,-21.287,11
2023-2025,1º,BIOTECNOLOGIA (BACHARELADO),BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,67.536,157.41,98.213,9
2023-2025,1º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,135.827,166.528,146.251,9
2023-2025,1º,CIÊNCIA POLÍTICA (BACHARELADO),CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,55.467,112.083,76.774,11
