Trienio,Semestre,Curso_Limpo,Campus,Turno,Min,Max,Media,N
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,29.413,89.957,47.197,13
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-9.029,56.548,16.859,19
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,17.176,26.585,20.747,5
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-30.095,-9.758,-22.258,12
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,14.062,16.925,15.571,3
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-34.333,-30.386,-32.205,4
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,12.821,13.536,13.098,3
2022-2024,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-38.595,-35.643,-37.119,2
2022-2024,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-3.556,111.678,22.775,24
2022-2024,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-21.054,-3.913,-13.611,11
2022-2024,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-42.089,-25.556,-35.364,7
2022-2024,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-48.862,-45.927,-46.704,4
2022-2024,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,89.171,125.153,102.014,10
2022-2024,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,36.005,80.178,50.976,6
2022-2024,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,78.199,87.179,81.304,6
2022-2024,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,16.881,33.661,24.628,6
2022-2024,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,78.199,78.199,78.199,1
2022-2024,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,16.573,16.573,16.573,1
2022-2024,1°,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-51.975,-9.131,-34.818,9
2022-2024,1°,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO),DARCY RIBEIRO,DIURNO,49.055,70.599,61.104,3
2022-2024,1°,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO),DARCY RIBEIRO,DIURNO,47.418,47.418,47.418,1
2022-2024,1°,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,15.194,74.696,31.751,7
2022-2024,1°,ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,12.612,12.638,12.625,2
2022-2024,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-51.958,33.575,-15.682,10
2022-2024,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,70.38,113.585,85.393,8
2022-2024,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,52.431,70.104,59.344,5
2022-2024,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,44.819,48.594,47.092,4
2022-2024,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,30.328,43.081,36.895,4
2022-2024,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,138.67,151.587,141.524,9
2022-2024,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,132.3,137.04,134.961,4
2022-2024,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,128.153,130.954,129.553,2
2022-2024,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,126.977,126.977,126.977,1
2022-2024,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,39.67,85.436,58.071,11
2022-2024,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,31.105,37.706,33.806,6
2022-2024,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,29.386,31.067,29.976,3
2022-2024,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,28.82,29.352,29.086,2
2022-2024,1°,CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-71.972,60.887,-6.211,8
2022-2024,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,65.166,109.221,77.763,8
2022-2024,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,57.494,63.496,61.05,4
2022-2024,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,15.826,119.586,40.533,15
2022-2024,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-56.592,59.856,-2.092,21
2022-2024,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,2.008,12.204,7.156,7
2022-2024,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-71.269,-57.171,-63.296,3
2022-2024,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-2.483,0.891,-0.514,3
2022-2024,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-8.459,-8.459,-8.459,1
2022-2024,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-11.904,145.766,49.723,50
2022-2024,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-19.076,81.635,41.186,11
2022-2024,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-56.302,59.587,-33.071,11
2022-2024,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-71.399,-58.728,-64.493,3
2022-2024,1°,CIÊNCIAS NATURAIS (LICENCIATURA),PLANALTINA,DIURNO,-85.326,34.196,-28.214,11
2022-2024,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-20.196,41.108,4.887,13
2022-2024,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-29.71,-20.717,-25.3,5
2022-2024,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-35.693,-30.183,-32.039,4
2022-2024,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-38.084,-36.497,-37.29,2
2022-2024,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,-8.091,61.044,23.784,16
2022-2024,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,-17.417,-8.847,-13.957,3
2022-2024,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,138.641,196.085,153.335,13
2022-2024,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,89.964,153.724,106.545,12
2022-2024,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,96.113,131.935,120.486,10
2022-2024,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,0.0,146.572,81.763,5
2022-2024,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,120.15,120.15,120.15,1
2022-2024,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,84.629,85.527,85.078,2
2022-2024,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,84.527,84.527,84.527,1
2022-2024,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-3.61,59.683,15.091,21
2022-2024,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-7.644,-3.767,-5.047,6
2022-2024,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-10.312,-10.312,-10.312,1
2022-2024,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-13.455,-13.455,-13.455,1
2022-2024,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,50.713,100.035,66.967,9
2022-2024,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,32.503,70.595,47.636,12
2022-2024,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,44.644,47.904,45.958,3
2022-2024,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,16.702,33.656,21.74,7
2022-2024,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,37.105,37.953,37.529,2
2022-2024,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,11.21,14.001,12.634,4
2022-2024,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,35.644,35.644,35.644,1
2022-2024,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,10.069,10.739,10.422,3
2022-2024,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-26.034,74.607,22.54,14
