Trienio,Semestre,Chamada,Curso_Limpo,Campus,Turno,Sistema_ID,Sistema_Nome,Min,Max,Media,N_Banco
2019-2021,1°,1ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,36.705,120.306,55.742,13
2019-2021,1°,2ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,31.78,32.177,31.983,3
2019-2021,1°,1ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-5.786,-0.285,-3.036,2
2019-2021,1°,2ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-24.159,-23.112,-23.636,2
2019-2021,1°,1ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-2.777,98.221,23.465,13
2019-2021,1°,2ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-7.013,-3.507,-5.304,3
2019-2021,1°,3ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-18.153,-10.481,-14.317,2
2019-2021,1°,1ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-1.176,2.32,0.572,2
2019-2021,1°,2ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-18.849,-3.674,-11.262,2
2019-2021,1°,3ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-39.595,-39.595,-39.595,1
2019-2021,1°,1ª,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-9.125,49.697,17.442,17
2019-2021,1°,2ª,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-27.314,-14.448,-20.237,9
2019-2021,1°,3ª,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-32.479,-28.335,-30.671,3
2019-2021,1°,4ª,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-33.617,-33.191,-33.404,2
2019-2021,1°,1ª,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-13.14,11.95,-0.595,2
2019-2021,1°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,74.758,137.056,99.636,9
2019-2021,1°,2ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,61.498,72.109,66.986,6
2019-2021,1°,3ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,60.044,61.413,60.728,2
2019-2021,1°,4ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,60.022,60.022,60.022,1
2019-2021,1°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,85.859,85.859,85.859,1
2019-2021,1°,2ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,39.61,39.61,39.61,1
2019-2021,1°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,19.181,76.568,37.349,6
2019-2021,1°,2ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,18.235,18.235,18.235,1
2019-2021,1°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-2.692,-2.692,-2.692,1
2019-2021,1°,1ª,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-38.167,-5.298,-29.839,7
2019-2021,1°,1ª,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-72.96,-72.96,-72.96,1
2019-2021,1°,1ª,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO)*,DARCY RIBEIRO,DIURNO,1,Sistema Universal,22.845,22.845,22.845,1
2019-2021,1°,1ª,ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,1,Sistema Universal,-21.226,10.926,-15.798,5
2019-2021,1°,1ª,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-80.935,60.65,-21.481,11
2019-2021,1°,1ª,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-13.884,-13.884,-13.884,1
2019-2021,1°,1ª,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,87.359,154.249,110.616,9
2019-2021,1°,2ª,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,74.627,83.31,78.897,5
2019-2021,1°,3ª,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,71.758,73.491,72.681,4
2019-2021,1°,1ª,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,29.186,29.186,29.186,1
2019-2021,1°,1ª,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,115.002,192.188,139.258,9
2019-2021,1°,2ª,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,93.273,111.206,101.924,6
2019-2021,1°,3ª,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,91.104,91.104,91.104,1
2019-2021,1°,1ª,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,82.755,82.755,82.755,1
2019-2021,1°,1ª,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,47.264,128.476,69.763,10
2019-2021,1°,2ª,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,41.65,46.06,43.864,4
2019-2021,1°,3ª,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,40.545,40.664,40.604,2
2019-2021,1°,4ª,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,39.954,39.954,39.954,1
2019-2021,1°,1ª,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-6.889,-6.889,-6.889,1
2019-2021,1°,1ª,CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-63.616,118.331,-13.805,7
2019-2021,1°,1ª,CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-16.032,-16.032,-16.032,1
2019-2021,1°,1ª,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,61.373,143.742,92.189,9
2019-2021,1°,2ª,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,46.285,55.995,49.972,3
2019-2021,1°,1ª,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,45.804,45.804,45.804,1
2019-2021,1°,1ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,13.056,64.385,29.036,15
2019-2021,1°,2ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-6.471,5.103,-0.487,6
2019-2021,1°,3ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-13.518,-7.663,-10.434,5
2019-2021,1°,4ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-17.111,-17.111,-17.111,1
2019-2021,1°,1ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-30.284,-23.245,-26.764,2
2019-2021,1°,1ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-20.052,46.127,0.295,12
2019-2021,1°,2ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-68.443,-47.052,-54.532,4
