Trienio,Semestre,Chamada,Curso_Limpo,Campus,Turno,Sistema_ID,Sistema_Nome,Min,Max,Media,N
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,38.131,99.156,61.245,13
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,-7.05,44.901,17.127,24
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-12.58,6.842,-2.869,2
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-54.846,-53.83,-54.338,2
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-67.831,-19.227,-43.529,2
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-25.422,-3.245,-18.18,4
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-17.433,18.394,-1.601,9
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-55.503,-4.817,-26.575,4
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,-5.377,112.172,18.261,24
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-22.112,-14.127,-18.12,2
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-56.39,-56.39,-56.39,1
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-62.778,-36.2,-51.109,3
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-58.036,-13.042,-39.706,10
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,98.047,146.303,110.835,9
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,48.138,74.131,59.416,7
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,65.15,65.15,65.15,1
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,23.271,23.271,23.271,1
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-32.379,4.506,-9.2,4
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,12.661,61.488,28.865,4
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,65.505,97.824,81.664,2
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-57.497,11.923,-20.795,8
2023-2025,1°,1°,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,-57.868,41.329,-16.511,13
2023-2025,1°,1°,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-70.619,-31.332,-50.135,4
2023-2025,1°,1°,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,23.679,42.35,31.286,3
2023-2025,1°,1°,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-30.791,18.165,-6.313,2
2023-2025,1°,1°,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,-33.372,-33.372,-33.372,1
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Universal,-12.384,29.579,8.868,4
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,NOTURNO,1,Universal,-53.375,16.725,-18.325,2
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-62.337,-53.522,-57.93,2
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-49.808,-49.808,-49.808,1
2023-2025,1°,1°,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,13.225,75.062,46.192,6
2023-2025,1°,1°,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-21.925,-21.925,-21.925,1
2023-2025,1°,1°,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-64.314,-16.574,-39.861,8
2023-2025,1°,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,-57.49,36.282,-21.287,11
2023-2025,1°,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-46.402,-46.402,-46.402,1
2023-2025,1°,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-54.547,-52.729,-53.518,3
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,67.536,157.41,98.213,9
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,64.205,64.205,64.205,1
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,22.903,22.903,22.903,1
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-47.168,-47.168,-47.168,1
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-36.957,43.54,1.259,8
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,135.827,166.528,146.251,9
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,117.648,117.648,117.648,1
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,3,EP / Baixa Renda / PPI,0.178,0.178,0.178,1
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-38.263,32.989,3.006,5
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,48.884,74.724,61.804,2
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,118.288,118.288,118.288,1
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,42.861,42.861,42.861,1
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,55.467,112.083,76.774,11
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,48.441,48.441,48.441,1
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-33.164,-3.3,-21.111,3
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-37.151,-5.97,-21.621,4
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,13.769,47.698,28.166,4
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,-31.841,-24.216,-28.028,2
2023-2025,1°,1°,CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,-60.711,-15.392,-38.34,5
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,78.793,119.236,100.085,9
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,29.652,29.652,29.652,1
