Trienio,Semestre,Chamada,Curso_Limpo,Campus,Turno,Sistema_ID,Sistema_Nome,Min,Max,Media,N_Banco
2023-2025,2°,1ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,3.982,15.839,9.439,16
2023-2025,2°,1ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-45.598,-23.699,-34.648,2
2023-2025,2°,1ª,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-89.23,-45.888,-56.548,20
2023-2025,2°,1ª,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-108.008,-36.745,-57.55,25
2023-2025,2°,1ª,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-45.319,-37.503,-41.411,2
2023-2025,2°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,63.904,79.454,68.239,9
2023-2025,2°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,22.14,22.14,22.14,1
2023-2025,2°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,10.726,33.226,22.353,14
2023-2025,2°,1ª,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-21.263,-21.263,-21.263,1
2023-2025,2°,1ª,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-4.253,21.191,9.354,5
2023-2025,2°,1ª,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,22.233,22.233,22.233,1
2023-2025,2°,1ª,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-79.358,-79.358,-79.358,1
2023-2025,2°,1ª,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-57.052,-8.974,-35.961,15
2023-2025,2°,1ª,ARTES VISUAIS (LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-65.271,30.314,-28.859,13
2023-2025,2°,1ª,ARTES VISUAIS (LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-29.778,-29.778,-29.778,1
2023-2025,2°,1ª,ARTES VISUAIS (LICENCIATURA),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-27.722,-27.722,-27.722,1
2023-2025,2°,1ª,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,8.602,41.359,27.022,17
2023-2025,2°,1ª,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,9.966,31.671,20.818,2
2023-2025,2°,1ª,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,106.717,119.192,112.014,9
2023-2025,2°,1ª,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,98.223,98.223,98.223,1
2023-2025,2°,1ª,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,37.484,45.949,41.952,10
2023-2025,2°,1ª,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,11.145,11.145,11.145,1
2023-2025,2°,1ª,CIÊNCIA POLÍTICA (BACHARELADO) JUDICE,DARCY RIBEIRO,DIURNO,1,Sistema Universal,41.874,41.874,41.874,1
2023-2025,2°,1ª,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,46.391,60.044,54.436,8
2023-2025,2°,1ª,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,27.388,27.388,27.388,1
2023-2025,2°,1ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-46.211,-4.367,-27.921,32
2023-2025,2°,1ª,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-45.587,-8.193,-31.574,3
2023-2025,2°,1ª,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,69.907,85.06,77.25,11
2023-2025,2°,1ª,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,56.92,56.92,56.92,1
2023-2025,2°,1ª,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-89.417,-54.174,-67.739,7
2023-2025,2°,1ª,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-72.773,-72.773,-72.773,1
2023-2025,2°,1ª,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-103.05,-43.77,-66.179,15
2023-2025,2°,1ª,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-98.854,3.338,-34.015,20
2023-2025,2°,1ª,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-6.046,-6.046,-6.046,1
2023-2025,2°,1ª,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,52.296,55.539,53.87,4
2023-2025,2°,1ª,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-56.194,-56.194,-56.194,1
2023-2025,2°,1ª,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,49.024,56.064,52.439,4
2023-2025,2°,1ª,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,21.4,21.4,21.4,1
2023-2025,2°,1ª,DESIGN (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,47.563,63.897,57.29,4
2023-2025,2°,1ª,DESIGN (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-2.758,-2.758,-2.758,1
2023-2025,2°,1ª,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,118.498,128.709,123.441,12
2023-2025,2°,1ª,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,79.032,80.426,79.729,2
2023-2025,2°,1ª,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,88.544,100.803,93.77,13
2023-2025,2°,1ª,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,59.461,62.301,60.881,2
2023-2025,2°,1ª,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-24.326,-13.137,-18.183,22
2023-2025,2°,1ª,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-30.67,-23.009,-27.418,4
2023-2025,2°,1ª,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,1,Sistema Universal,1.72,19.403,8.793,11
2023-2025,2°,1ª,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,2,Cota para Negros,-0.078,-0.078,-0.078,1
2023-2025,2°,1ª,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,18.251,31.565,25.525,8
2023-2025,2°,1ª,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,10.453,22.168,16.31,2
2023-2025,2°,1ª,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,23.619,42.184,34.283,16
2023-2025,2°,1ª,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,17.149,17.149,17.149,1
2023-2025,2°,1ª,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,94.432,107.201,100.656,9
2023-2025,2°,1ª,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,26.875,26.875,26.875,1
2023-2025,2°,1ª,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Sistema Universal,-81.662,15.889,-20.417,23
2023-2025,2°,1ª,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-16.016,23.665,1.75,19
2023-2025,2°,1ª,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-41.399,-41.399,-41.399,1
2023-2025,2°,1ª,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-0.43,74.971,35.537,20
2023-2025,2°,1ª,ENGENHARIA MECATRÔNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,20.085,53.003,39.162,19
2023-2025,2°,1ª,ENGENHARIA MECATRÔNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,19.686,19.686,19.686,1
2023-2025,2°,1ª,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,19.217,69.225,47.83,19
2023-2025,2°,1ª,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,28.93,28.93,28.93,1
2023-2025,2°,1ª,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Sistema Universal,-46.348,19.303,-0.154,15
